民國年,期作,縣市,收穫期市價(元/公斤),輔導公告價(元/公斤),輔導價差(元/公斤),計畫+輔導收購量(公噸),餘糧收購量(公噸),稻穀產量(公噸),收購占比%
88,1,南投縣,18.073,18.00,-0.073,5741.2,0.0,19963.4,28.759
88,1,台中市,17.610,18.00,0.390,33155.2,0.0,115513.8,28.702
88,1,台南市,17.927,18.00,0.073,17804.1,0.0,141122.1,12.616
88,1,台東縣,18.643,18.00,-0.643,3911.8,0.0,32520.5,12.029
88,1,嘉義市,18.003,18.00,-0.003,1808.0,0.0,5772.0,31.324
88,1,嘉義縣,18.003,18.00,-0.003,34125.1,0.0,125128.8,27.272
88,1,宜蘭縣,18.133,18.00,-0.133,25601.5,0.0,63210.2,40.502
88,1,屏東縣,18.047,18.00,-0.047,5461.9,0.0,38163.0,14.312
88,1,彰化縣,18.097,18.00,-0.097,34618.4,0.0,200945.5,17.228
88,1,新竹市,17.630,18.00,0.370,1540.4,0.0,10047.5,15.331
88,1,新竹縣,17.570,18.00,0.430,12912.2,0.0,43865.8,29.436
88,1,桃園市,17.850,18.00,0.150,36990.7,0.0,93095.6,39.734
88,1,花蓮縣,18.953,18.00,-0.953,5658.6,0.0,37523.3,15.080
88,1,苗栗縣,17.550,18.00,0.450,16403.0,0.0,53784.9,30.497
88,1,雲林縣,17.933,18.00,0.067,65837.9,0.0,201021.5,32.752
88,1,高雄市,17.297,18.00,0.703,5206.1,0.0,39072.3,13.324
88,2,南投縣,19.335,18.00,-1.335,3111.8,0.0,13274.3,23.442
88,2,台中市,19.810,18.00,-1.810,14986.1,0.0,77642.7,19.301
88,2,台南市,19.830,18.00,-1.830,4685.8,0.0,60659.1,7.725
88,2,台東縣,19.280,18.00,-1.280,1569.8,0.0,29121.4,5.391
88,2,嘉義市,19.820,18.00,-1.820,816.7,0.0,4519.3,18.071
88,2,嘉義縣,19.820,18.00,-1.820,8970.6,0.0,84795.5,10.579
88,2,宜蘭縣,18.720,18.00,-0.720,28.4,0.0,881.0,3.224
88,2,屏東縣,19.685,18.00,-1.685,4245.5,0.0,20498.0,20.712
88,2,彰化縣,20.080,18.00,-2.080,7725.4,0.0,122986.5,6.282
88,2,新竹市,18.660,18.00,-0.660,964.6,0.0,7301.4,13.211
88,2,新竹縣,18.660,18.00,-0.660,7113.8,0.0,31672.2,22.461
