民國年,縣市,年平均(元/公斤),1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
99,宜蘭縣,19.740,20.570,20.980,20.420,19.670,19.500,19.330,19.490,19.580,19.920,19.700,18.610,19.140
99,桃園市,20.330,21.450,21.700,21.380,20.910,20.900,20.730,19.920,19.780,19.800,19.650,18.800,18.960
99,新竹縣,20.300,21.200,21.610,21.350,20.890,20.760,20.650,19.960,19.830,19.830,19.750,18.800,19.010
99,苗栗縣,20.290,21.290,21.650,21.310,20.840,20.720,20.500,19.960,19.810,19.810,19.700,18.810,19.020
99,台中縣,20.280,21.120,21.670,21.140,20.890,20.860,20.590,20.020,19.890,19.950,19.610,18.270,19.340
99,彰化縣,20.850,22.100,22.460,21.860,21.610,21.470,20.930,20.050,20.320,20.490,19.830,18.960,20.120
99,南投縣,20.850,21.660,22.500,22.110,21.860,21.330,20.740,20.130,20.160,20.250,19.990,19.420,20.100
99,雲林縣,20.660,22.080,22.620,21.690,21.380,21.270,20.630,19.650,19.900,20.180,19.170,19.200,20.140
99,嘉義縣,20.570,21.940,22.500,21.590,21.090,21.020,20.680,19.740,19.810,19.990,19.140,19.160,20.190
99,台南縣,20.550,21.820,22.530,21.470,21.040,21.200,20.810,19.890,19.820,19.950,19.430,18.920,19.750
99,高雄縣,20.420,21.640,22.280,21.750,21.130,20.690,20.590,19.660,19.720,19.890,19.630,18.760,19.290
99,屏東縣,20.380,21.930,22.500,21.830,21.290,20.830,20.060,19.680,19.730,19.810,19.130,18.880,18.880
99,台東縣,23.290,23.680,23.680,23.680,23.680,23.530,22.020,23.700,23.730,23.730,23.480,22.870,21.700
99,花蓮縣,22.240,22.680,22.680,22.680,22.680,22.680,22.650,22.710,22.730,22.730,21.600,20.690,20.360
99,嘉義市,20.690,22.260,22.630,21.640,21.440,21.320,20.730,19.650,19.900,20.050,19.270,19.200,20.170
100,宜蘭縣,20.600,18.560,18.360,18.250,18.490,21.490,21.390,21.290,21.270,21.710,22.220,22.110,22.110
100,桃園市,21.300,18.800,18.770,18.910,19.710,24.150,23.010,20.910,21.080,22.180,22.610,22.520,22.910
100,新竹縣,21.200,19.010,19.010,19.010,19.650,23.360,22.490,20.810,21.200,21.950,22.510,22.520,22.910
100,苗栗縣,21.250,19.020,19.040,19.110,20.100,23.170,21.870,20.850,21.150,22.320,22.700,22.620,23.030
100,彰化縣,21.900,20.350,20.370,20.260,21.260,24.250,21.550,21.020,22.190,22.670,22.870,22.740,23.300
100,南投縣,21.780,20.080,19.840,19.790,21.110,23.290,22.830,21.340,22.290,22.510,22.760,22.530,23.000
100,雲林縣,21.740,20.040,20.070,19.910,20.970,23.940,21.160,20.920,22.340,22.930,22.760,22.740,23.050
100,嘉義縣,21.550,19.970,19.890,19.860,21.000,24.460,21.500,20.670,22.030,22.280,22.320,22.210,22.380
100,屏東縣,21.420,18.880,19.090,19.930,20.520,23.900,21.060,20.910,21.880,22.450,22.790,22.730,22.850
100,台東縣,23.110,21.720,21.720,21.720,21.720,23.270,22.270,23.620,24.680,25.000,24.960,23.280,23.300
100,花蓮縣,22.120,20.370,20.370,20.370,20.640,23.900,23.720,22.290,21.920,22.910,23.890,22.590,22.450
100,台中市,21.380,19.390,19.450,19.450,20.410,24.340,22.760,20.140,20.980,21.880,22.540,22.550,22.680
100,嘉義市,21.610,19.880,19.840,19.960,21.170,24.380,21.430,20.520,21.760,22.400,22.660,22.660,22.680
100,台南市,21.710,19.960,19.850,19.970,20.800,24.100,21.840,20.980,21.980,22.530,22.880,22.620,22.980
100,高雄市,21.390,19.830,19.940,20.110,20.500,23.070,20.590,20.680,21.950,22.570,22.420,22.420,22.560
101,宜蘭縣,22.590,22.420,22.550,22.570,22.990,23.060,22.100,22.390,22.670,22.700,22.660,22.470,22.440
101,桃園市,22.940,23.100,23.180,23.180,23.980,23.860,22.390,22.340,22.410,22.550,22.740,22.930,22.640
101,新竹縣,22.740,23.000,23.000,23.060,23.720,23.430,22.200,22.330,22.330,22.400,22.460,22.360,22.580
101,苗栗縣,22.830,23.140,23.150,23.150,23.820,23.330,22.120,22.210,22.580,22.870,22.570,22.350,22.660
101,彰化縣,23.280,23.660,23.720,23.720,24.280,23.620,21.980,22.520,23.280,23.350,23.110,23.020,23.040
101,南投縣,23.300,23.100,23.180,23.620,24.230,24.350,22.130,22.620,23.240,23.330,23.250,23.240,23.280
101,雲林縣,23.120,23.210,23.410,23.430,24.350,23.670,21.900,22.460,23.100,23.270,22.990,22.930,22.760
101,嘉義縣,23.180,22.870,23.120,23.460,24.470,23.960,23.430,22.390,23.150,23.140,22.920,22.720,22.570
101,屏東縣,23.140,23.310,23.330,23.330,23.980,23.870,22.590,22.480,22.800,23.120,23.170,22.880,22.830
101,台東縣,23.490,23.350,23.350,23.350,23.350,23.360,23.440,23.370,23.400,23.430,23.430,23.730,24.340
101,花蓮縣,23.210,22.940,23.260,23.320,23.490,23.680,23.190,22.510,22.660,23.260,23.330,23.490,23.440
101,台中市,23.140,23.370,23.370,23.370,24.230,23.670,23.010,22.620,22.770,22.830,22.850,22.860,22.760
101,嘉義市,23.140,23.080,23.190,23.460,24.500,23.570,22.850,22.120,23.280,23.220,22.890,22.820,22.660
101,台南市,23.290,23.160,23.310,23.330,24.030,23.860,23.420,23.300,23.200,23.410,22.950,22.800,22.710
101,高雄市,23.080,23.250,23.310,23.310,24.090,23.090,22.300,22.360,23.090,23.280,22.930,22.980,22.920
102,宜蘭縣,21.640,22.280,22.220,21.730,20.840,20.030,20.190,22.270,21.950,21.720,21.780,22.060,22.560
102,桃園市,21.710,22.490,22.410,22.230,21.530,21.140,21.190,21.690,20.950,21.180,21.340,21.740,22.570
102,新竹縣,21.600,22.300,21.930,21.700,21.490,21.070,21.310,21.480,21.110,21.140,21.340,21.750,22.540
102,苗栗縣,21.760,22.350,22.040,21.560,20.880,20.490,21.110,22.150,21.920,21.780,21.920,22.010,22.890
102,彰化縣,22.360,22.980,22.740,22.270,21.770,21.690,21.750,22.350,22.130,22.210,22.270,22.570,23.630
102,南投縣,22.490,23.070,22.830,22.500,22.190,22.000,22.010,22.090,22.190,22.190,22.710,22.750,23.340
102,雲林縣,22.020,22.580,22.250,21.740,20.970,20.900,21.320,21.990,21.780,22.150,22.330,22.610,23.660
102,嘉義縣,21.730,22.390,21.980,21.310,20.560,20.370,20.610,21.830,21.780,21.980,22.350,22.200,23.340
102,屏東縣,22.230,22.830,22.800,22.310,21.350,21.140,21.240,22.000,22.000,22.330,22.420,22.630,23.730
102,台東縣,24.080,24.340,24.340,24.340,24.340,24.320,23.880,23.710,23.710,23.710,23.710,24.220,24.280
102,花蓮縣,23.340,23.530,23.550,23.460,23.370,23.420,23.270,22.950,22.880,22.850,22.980,23.600,24.230
102,台中市,21.990,22.700,22.530,21.980,20.910,20.780,21.120,22.060,21.880,22.040,22.120,22.450,23.320
102,嘉義市,21.930,22.370,22.020,21.340,21.000,20.970,21.170,22.170,22.170,22.170,22.130,22.320,23.320
102,台南市,21.730,22.440,22.050,21.580,21.030,20.850,21.060,21.710,21.880,21.840,21.880,21.900,22.540
102,高雄市,21.990,22.690,22.590,22.290,21.260,20.720,21.070,21.950,21.910,21.980,22.100,22.000,23.300
103,宜蘭縣,23.710,23.290,24.930,24.890,24.670,24.340,23.420,22.970,22.890,23.220,23.290,23.290,23.290
103,桃園市,23.110,22.860,23.660,24.050,23.690,23.730,23.170,22.060,21.980,22.880,22.850,23.270,23.140
103,新竹縣,23.040,23.100,23.320,23.320,23.320,23.350,23.260,22.510,22.460,22.840,23.110,23.090,22.830
103,苗栗縣,23.720,23.950,24.680,25.000,25.000,24.700,23.140,22.670,23.190,23.460,23.450,22.490,22.920
103,彰化縣,24.130,24.240,25.150,25.900,25.440,24.990,23.600,23.110,23.390,23.610,23.490,23.310,23.380
103,南投縣,24.170,23.880,25.110,25.660,25.500,25.030,23.920,23.220,23.330,23.650,23.610,23.500,23.670
103,雲林縣,24.280,24.550,25.740,25.900,25.730,25.560,23.690,22.700,23.360,23.960,23.570,23.540,23.030
103,嘉義縣,24.240,24.110,25.450,25.990,25.680,25.680,24.730,22.340,23.160,23.850,23.580,23.370,22.920
103,屏東縣,24.030,24.530,25.250,25.200,25.170,25.140,24.000,23.170,23.140,23.140,23.160,23.200,23.200
103,台東縣,24.900,24.280,24.280,24.280,24.280,24.280,24.520,25.550,25.570,25.570,25.550,25.000,25.670
103,花蓮縣,24.490,24.430,24.450,24.450,24.450,24.440,24.330,24.460,24.630,24.620,24.640,24.180,24.820
103,台中市,23.960,24.150,25.360,24.570,24.380,25.250,23.980,22.500,23.550,24.070,23.810,23.270,22.600
103,嘉義市,24.320,24.170,25.550,26.000,25.830,25.830,24.810,22.410,23.380,23.810,23.540,23.430,23.030
103,台南市,24.430,24.060,25.940,26.020,25.880,25.760,24.510,22.680,23.450,24.060,23.630,23.550,23.570
103,高雄市,23.680,24.280,25.160,24.830,24.780,23.210,22.660,22.630,23.380,,23.050,23.500,23.000
104,宜蘭縣,22.580,23.290,23.290,23.290,23.290,23.220,22.790,22.100,21.830,21.770,21.780,21.920,22.380
104,桃園市,22.620,22.980,23.460,23.470,23.390,23.380,22.890,21.620,21.150,21.150,21.330,22.910,23.680
104,新竹縣,22.460,23.190,23.390,23.390,23.390,23.390,23.250,21.120,20.830,20.830,20.830,21.940,23.910
104,苗栗縣,22.210,23.060,23.080,23.080,23.080,22.810,22.040,20.950,20.860,21.130,21.100,22.240,23.100
104,彰化縣,22.810,23.460,23.590,23.730,23.710,23.320,22.370,21.900,21.300,21.510,21.520,22.520,24.780
104,南投縣,23.040,23.610,23.670,23.670,23.620,23.550,23.560,23.250,22.610,22.110,21.740,21.670,23.390
104,雲林縣,23.230,23.800,23.900,23.920,23.940,23.780,23.600,21.900,21.660,21.710,21.900,23.390,25.220
104,嘉義縣,22.680,23.170,23.220,23.420,23.570,23.210,21.970,21.020,21.030,21.210,21.760,23.580,24.990
104,屏東縣,22.660,23.200,23.260,23.300,23.300,23.300,22.500,22.530,22.530,22.530,21.430,21.430,
104,台東縣,25.740,25.950,26.390,26.590,26.590,26.780,24.960,25.730,,,,24.080,24.560
104,花蓮縣,24.380,24.900,24.890,24.890,24.890,24.850,24.290,24.130,24.020,24.020,23.930,23.930,23.870
104,台中市,21.920,23.300,23.240,23.210,23.240,22.980,22.080,20.670,20.420,20.420,20.420,20.440,22.570
104,嘉義市,22.690,23.130,23.170,23.500,23.670,23.270,21.860,20.940,21.020,21.250,21.780,23.780,24.930
104,台南市,23.390,23.990,24.140,24.120,24.130,23.960,23.770,21.870,21.300,22.250,22.210,23.600,25.360
104,高雄市,22.370,23.670,,,,21.720,21.860,,,,22.260,22.330,
105,宜蘭縣,22.550,22.460,22.480,22.630,22.630,22.550,22.420,22.200,22.170,22.130,22.280,22.920,23.690
105,桃園市,23.030,24.230,24.420,24.420,24.420,24.190,22.040,21.940,21.430,21.210,21.260,22.530,24.210
105,新竹縣,23.350,24.030,24.030,24.030,24.030,24.030,23.920,21.970,21.940,21.610,21.610,23.590,25.400
105,苗栗縣,22.860,23.100,23.110,23.110,23.110,22.910,22.500,22.080,22.060,22.060,22.060,23.550,24.610
105,彰化縣,24.090,24.930,25.110,25.100,25.020,24.690,24.200,22.120,22.390,22.430,23.100,24.320,25.650
105,南投縣,24.140,24.450,25.000,25.000,25.000,24.850,24.720,22.530,22.380,22.500,23.040,24.100,26.050
105,雲林縣,24.490,25.340,25.350,25.330,25.270,25.220,24.950,22.710,22.660,22.620,23.420,24.940,26.040
105,嘉義縣,23.790,25.070,25.060,24.820,24.760,24.180,21.660,21.980,21.890,21.830,23.420,24.880,25.910
105,屏東縣,23.500,,,,,22.960,22.840,22.560,,22.250,22.680,24.560,26.640
105,台東縣,25.030,24.560,24.560,24.560,24.560,24.560,24.560,25.330,25.520,25.520,25.520,25.560,25.540
105,花蓮縣,24.030,24.000,23.960,23.850,23.850,23.850,23.850,24.040,23.980,23.980,23.980,24.290,24.700
105,台中市,22.800,22.750,22.750,22.880,23.330,23.330,23.330,23.060,22.650,21.840,21.840,22.480,23.330
105,嘉義市,23.780,24.990,25.000,25.000,24.870,23.970,21.550,22.070,21.920,21.920,23.270,24.930,25.910
105,台南市,24.120,25.360,25.500,25.030,25.040,22.850,21.750,22.270,22.300,,23.610,24.910,26.660
105,高雄市,22.850,,25.100,,,21.970,21.280,,,,23.050,,
106,宜蘭縣,22.810,23.750,23.750,23.750,23.750,23.720,22.800,22.550,22.540,22.230,21.780,21.650,21.490
106,桃園市,22.820,24.310,24.310,24.290,24.290,24.290,23.030,22.470,21.540,21.500,21.480,21.200,21.160
106,新竹縣,23.370,25.410,25.410,25.410,25.410,25.410,25.410,22.410,21.180,21.180,21.180,20.960,21.070
106,苗栗縣,22.730,24.610,24.610,24.610,24.610,24.610,24.610,21.430,21.060,21.060,21.060,20.360,20.140
106,彰化縣,23.260,25.980,26.030,25.430,25.070,24.530,22.380,21.720,21.610,21.640,21.640,21.590,21.550
106,南投縣,23.380,25.990,25.950,25.870,25.430,24.570,22.730,21.670,21.670,21.670,21.670,21.670,21.670
106,雲林縣,23.420,26.030,26.020,25.500,25.010,24.970,23.010,21.510,21.630,21.980,21.940,21.600,21.810
106,嘉義縣,23.110,25.870,25.780,25.150,24.800,23.820,21.590,21.560,21.730,21.780,21.700,21.590,21.960
106,屏東縣,24.100,26.640,26.620,26.540,25.490,24.840,23.560,23.000,22.770,22.540,22.540,22.400,22.300
106,台東縣,25.550,25.570,25.570,25.570,25.570,25.570,25.510,25.480,25.700,25.700,25.700,25.460,25.170
106,花蓮縣,24.460,24.690,24.690,24.450,24.370,24.370,24.370,24.370,24.410,24.410,24.410,24.570,24.360
106,台中市,23.000,23.580,23.970,24.000,24.000,24.000,24.000,23.260,21.840,21.840,21.840,21.840,21.840
106,嘉義市,22.940,25.930,25.830,25.350,24.690,21.970,21.790,21.510,21.540,21.670,21.700,21.590,21.740
106,台南市,23.120,26.660,25.830,24.980,25.000,22.150,21.800,21.760,22.040,21.870,21.780,21.500,22.110
106,高雄市,21.780,,,,,22.090,21.470,,,,,,
107,宜蘭縣,20.930,21.280,21.280,21.280,21.280,21.720,21.460,20.890,20.410,20.390,20.390,20.390,20.390
107,桃園市,20.780,21.160,21.160,21.350,21.430,21.430,21.430,20.740,20.050,20.050,20.050,20.080,20.380
107,新竹縣,20.810,21.100,21.100,21.100,21.150,21.720,21.490,20.660,20.130,20.060,20.170,20.350,20.690
107,苗栗縣,20.230,20.140,20.140,20.140,20.140,20.140,20.140,20.170,20.170,20.170,20.170,20.460,20.830
107,彰化縣,21.470,21.640,21.910,21.980,22.240,23.110,22.280,20.760,20.460,20.670,20.910,20.930,20.800
107,南投縣,21.470,21.700,21.870,22.200,22.170,22.820,21.950,20.930,20.510,20.500,21.000,21.020,20.930
107,雲林縣,21.430,22.010,22.050,22.190,22.650,23.550,21.670,20.200,20.230,20.680,20.670,20.670,20.580
107,嘉義縣,21.280,22.000,22.010,22.020,22.390,23.040,20.860,20.180,20.390,20.610,20.690,20.640,20.500
107,屏東縣,21.820,22.300,22.300,22.300,22.300,22.710,22.440,21.640,20.980,20.980,20.980,21.310,21.600
107,台東縣,24.890,25.170,25.170,25.170,25.170,25.170,24.950,24.830,24.870,24.870,24.870,24.230,24.210
107,花蓮縣,23.640,24.360,24.360,24.360,24.380,24.390,24.320,23.110,23.090,23.090,23.090,22.800,22.340
107,台中市,21.160,21.840,21.840,21.840,21.840,21.840,21.360,20.570,20.500,20.500,20.500,20.500,20.750
107,嘉義市,21.110,21.840,21.840,21.830,22.160,23.090,20.450,19.960,20.200,20.410,20.510,20.540,20.430
107,台南市,21.550,22.060,22.100,22.310,23.130,23.460,21.250,20.630,20.790,20.660,20.730,20.930,20.580
107,高雄市,21.500,,,,,22.670,,,,,20.330,,
108,宜蘭縣,21.200,20.390,20.390,20.390,20.390,20.390,20.420,22.110,21.760,21.810,22.050,22.110,22.220
108,桃園市,20.720,20.390,20.390,20.390,20.390,20.390,20.390,20.850,21.080,21.080,21.080,21.080,21.080
108,新竹縣,20.820,20.570,20.570,20.570,20.570,20.490,20.460,20.220,20.140,20.730,22.040,21.830,21.670
108,苗栗縣,21.390,20.830,20.830,20.830,20.830,20.830,20.830,21.720,21.790,21.790,21.790,22.310,22.340
108,彰化縣,21.470,20.600,20.620,20.600,20.590,20.470,20.280,21.580,23.010,23.110,22.770,22.310,21.680
108,南投縣,21.490,20.750,20.730,20.660,20.660,20.560,20.460,21.330,23.290,23.030,22.540,22.200,21.620
108,雲林縣,21.330,20.720,20.740,20.530,20.310,19.950,20.080,21.430,23.050,22.850,22.420,22.220,21.690
108,嘉義縣,21.330,20.750,20.750,20.450,20.290,19.870,20.140,21.640,23.170,22.750,22.350,22.190,21.650
108,屏東縣,21.400,20.990,20.500,20.460,20.300,20.170,20.170,21.100,22.830,23.110,22.400,22.390,22.420
108,台東縣,23.750,24.210,24.210,24.210,24.210,24.210,23.370,23.180,23.240,23.240,23.240,23.500,24.210
108,花蓮縣,21.960,22.340,22.340,22.340,22.340,22.340,21.870,21.370,21.380,21.380,21.380,22.220,22.270
108,台中市,21.390,20.750,20.750,20.750,20.750,20.750,20.770,21.770,22.210,22.500,22.310,21.660,21.660
108,嘉義市,21.360,20.800,20.830,20.480,20.250,19.800,20.220,21.660,23.160,22.820,22.440,22.240,21.670
108,台南市,21.380,20.790,20.830,20.380,20.330,20.110,20.380,21.800,23.230,22.710,22.270,22.110,21.570
108,高雄市,21.500,,,,,19.350,,,23.330,,21.810,,
109,宜蘭縣,21.480,22.220,22.220,22.220,22.220,22.220,22.140,20.740,20.760,20.760,20.760,20.760,20.760
109,桃園市,20.380,21.080,21.080,21.080,21.550,21.480,20.720,20.210,20.090,19.830,19.510,18.920,19.010
109,新竹縣,20.810,21.670,21.670,21.670,21.870,21.950,20.820,20.350,20.330,20.330,20.330,18.860,19.890
109,苗栗縣,21.300,22.340,22.340,22.340,22.340,22.340,22.340,20.830,20.830,20.830,20.830,19.070,19.200
109,彰化縣,20.890,21.670,21.520,21.410,22.250,21.820,20.250,20.190,20.110,20.220,20.040,19.930,21.270
109,南投縣,20.910,21.700,21.540,21.460,22.500,21.750,20.430,20.230,20.170,20.170,19.980,19.670,21.310
109,雲林縣,20.880,21.570,21.390,21.510,22.190,21.750,20.150,20.260,20.170,20.240,19.910,19.730,21.710
109,嘉義縣,20.790,21.520,21.350,21.550,22.130,21.310,19.880,20.160,20.020,19.900,19.780,19.850,22.050
109,屏東縣,21.040,22.050,21.870,21.950,22.500,22.440,20.060,20.470,20.000,20.000,19.730,19.520,21.860
109,台東縣,24.180,24.240,24.240,24.240,24.240,24.240,23.740,24.000,24.100,24.100,24.100,24.120,24.800
109,花蓮縣,22.190,22.270,22.270,22.270,22.270,22.270,22.240,21.950,21.950,21.950,21.950,22.380,22.560
109,台中市,20.410,21.660,21.190,21.020,21.180,21.330,20.330,20.070,19.870,19.650,19.510,19.160,20.000
109,嘉義市,20.850,21.590,21.340,21.620,22.170,21.500,19.860,20.170,20.090,20.000,20.000,19.890,21.940
109,台南市,20.960,21.360,21.320,21.630,22.170,22.500,20.060,20.320,20.000,19.990,19.680,20.020,22.510
109,高雄市,19.860,,,,,20.090,19.670,,,,19.830,,
110,宜蘭縣,20.700,20.760,20.760,20.760,20.760,20.760,20.960,20.620,20.610,20.610,20.610,20.610,20.610
110,桃園市,21.150,19.370,20.760,21.890,22.210,22.590,22.880,20.640,20.650,20.750,20.750,20.630,20.630
110,新竹縣,21.620,20.190,22.600,23.000,23.000,23.000,22.860,20.560,20.660,21.000,21.000,20.780,20.830
110,苗栗縣,21.220,19.200,,,21.560,21.980,22.340,21.440,21.310,21.490,21.490,20.640,20.720
110,彰化縣,22.250,22.630,23.900,24.190,23.330,23.190,22.100,20.510,20.720,20.810,20.840,21.700,23.020
110,南投縣,22.320,22.360,23.900,24.220,23.530,23.250,22.440,20.530,20.830,20.830,20.830,21.750,23.330
110,雲林縣,22.140,22.510,24.120,24.080,23.280,23.040,22.020,20.570,20.820,20.830,20.630,21.130,22.620
110,嘉義縣,22.060,22.740,24.410,24.100,23.000,22.840,21.470,20.220,20.690,20.740,20.470,21.170,22.850
110,屏東縣,22.120,22.720,24.670,24.010,22.770,22.690,21.700,20.400,20.770,20.840,20.930,21.550,22.400
110,台東縣,25.280,24.840,24.840,24.840,24.840,24.840,24.930,26.020,26.100,26.100,26.100,24.820,25.140
110,花蓮縣,23.000,22.540,22.540,22.540,22.540,22.540,23.180,23.520,23.520,23.520,23.520,23.030,23.030
110,台中市,22.380,20.000,23.820,23.810,23.830,23.750,23.690,23.170,21.350,21.170,21.170,21.320,21.500
110,嘉義市,22.010,22.580,24.730,23.980,23.100,22.900,21.460,20.320,20.660,20.670,20.340,20.690,22.650
110,台南市,22.280,23.140,24.320,24.150,22.880,23.530,21.830,20.670,21.000,20.730,20.610,21.910,22.540
110,高雄市,20.680,,,,,,,,22.630,21.280,18.120,,
111,宜蘭縣,21.440,20.610,20.610,20.610,20.610,20.610,20.890,22.190,22.190,22.190,22.190,22.270,22.270
