民國年,縣市,期作,產量_稻穀(公噸)
88,臺北市,一期,1661.9
88,臺北市,二期,709.0
88,高雄市,一期,1063.7
88,高雄市,二期,526.8
88,臺北縣,一期,3344.8
88,臺北縣,二期,465.7
88,宜蘭縣,一期,63210.2
88,宜蘭縣,二期,881.0
88,桃園縣,一期,93095.6
88,桃園縣,二期,62972.4
88,新竹縣,一期,43865.8
88,新竹縣,二期,31672.2
88,苗栗縣,一期,53784.9
88,苗栗縣,二期,42217.5
88,臺中縣,一期,106424.3
88,臺中縣,二期,71012.2
88,彰化縣,一期,200945.5
88,彰化縣,二期,122986.5
88,南投縣,一期,19963.4
88,南投縣,二期,13274.3
88,雲林縣,一期,201021.5
88,雲林縣,二期,81184.7
88,嘉義縣,一期,125128.8
88,嘉義縣,二期,84795.5
88,臺南縣,一期,140080.3
88,臺南縣,二期,56142.3
88,高雄縣,一期,38008.6
88,高雄縣,二期,16887.3
88,屏東縣,一期,38163.0
88,屏東縣,二期,20498.0
88,臺東縣,一期,32520.5
88,臺東縣,二期,29121.4
88,花蓮縣,一期,37523.3
88,花蓮縣,二期,32233.0
88,新竹市,一期,10047.5
88,新竹市,二期,7301.4
88,臺中市,一期,9089.5
88,臺中市,二期,6630.5
88,嘉義市,一期,5772.0
88,嘉義市,二期,4519.3
88,臺南市,一期,1041.8
88,臺南市,二期,4516.8
90,臺北市,一期,1607.4
90,臺北市,二期,689.4
90,高雄市,一期,950.8
90,高雄市,二期,330.4
90,臺北縣,一期,2590.3
90,臺北縣,二期,260.7
90,宜蘭縣,一期,60802.8
90,宜蘭縣,二期,76.4
90,桃園縣,一期,73536.4
90,桃園縣,二期,38274.7
90,新竹縣,一期,35206.7
90,新竹縣,二期,25506.0
90,苗栗縣,一期,47587.0
90,苗栗縣,二期,29901.8
90,臺中縣,一期,97353.9
90,臺中縣,二期,69972.5
90,彰化縣,一期,188168.6
90,彰化縣,二期,137102.5
90,南投縣,一期,18977.4
90,南投縣,二期,13320.6
90,雲林縣,一期,176801.7
90,雲林縣,二期,80497.7
90,嘉義縣,一期,111867.1
90,嘉義縣,二期,70688.7
90,臺南縣,一期,123096.9
90,臺南縣,二期,44878.0
90,高雄縣,一期,35921.0
90,高雄縣,二期,11718.7
90,屏東縣,一期,37995.5
90,屏東縣,二期,14281.7
90,臺東縣,一期,32268.7
90,臺東縣,二期,31831.2
90,花蓮縣,一期,36286.1
90,花蓮縣,二期,31495.2
90,新竹市,一期,9688.5
90,新竹市,二期,3663.1
90,臺中市,一期,8333.4
90,臺中市,二期,6571.2
90,嘉義市,一期,5520.2
90,嘉義市,二期,3570.8
90,臺南市,一期,1332.3
90,臺南市,二期,3371.0
91,臺北市,一期,1891.7
91,臺北市,二期,846.0
91,高雄市,一期,827.2
91,高雄市,二期,357.2
91,臺北縣,一期,2564.8
91,臺北縣,二期,215.6
91,宜蘭縣,一期,65755.1
91,宜蘭縣,二期,34.7
91,桃園縣,一期,55978.1
91,桃園縣,二期,32205.4
91,新竹縣,一期,27448.6
91,新竹縣,二期,22119.5
91,苗栗縣,一期,38921.3
91,苗栗縣,二期,33204.4
91,臺中縣,一期,100326.6
91,臺中縣,二期,80745.1
91,彰化縣,一期,193555.1
91,彰化縣,二期,133543.3
91,南投縣,一期,18667.2
91,南投縣,二期,13938.4
91,雲林縣,一期,198234.5
91,雲林縣,二期,95702.3
91,嘉義縣,一期,130293.3
91,嘉義縣,二期,85275.0
91,臺南縣,一期,131205.3
91,臺南縣,二期,52440.6
91,高雄縣,一期,36775.1
91,高雄縣,二期,12193.0
91,屏東縣,一期,36837.9
91,屏東縣,二期,16523.1
91,臺東縣,一期,37280.3
91,臺東縣,二期,36099.5
91,花蓮縣,一期,38937.5
91,花蓮縣,二期,32676.7
91,新竹市,一期,4906.2
