民國年,縣市,期作,收購類型,收購量(公噸)
99,高雄市,一期,計畫收購,3.5
99,高雄市,一期,輔導收購,0.0
99,臺北縣,一期,計畫收購,178.1
99,臺北縣,一期,輔導收購,65.6
99,臺北縣,一期,餘糧收購,39.2
99,宜蘭縣,一期,計畫收購,13814.3
99,宜蘭縣,一期,輔導收購,900.8
99,宜蘭縣,一期,餘糧收購,13.1
99,桃園縣,一期,計畫收購,9171.6
99,桃園縣,一期,輔導收購,2367.2
99,桃園縣,一期,餘糧收購,5.4
99,桃園縣,二期,計畫收購,2780.2
99,桃園縣,二期,輔導收購,830.5
99,桃園縣,二期,餘糧收購,19.3
99,新竹縣,一期,計畫收購,4962.4
99,新竹縣,一期,輔導收購,1244.6
99,新竹縣,二期,計畫收購,2895.1
99,新竹縣,二期,輔導收購,893.1
99,新竹縣,二期,餘糧收購,37.6
99,苗栗縣,一期,計畫收購,6735.9
99,苗栗縣,一期,輔導收購,684.8
99,苗栗縣,二期,計畫收購,4552.6
99,苗栗縣,二期,輔導收購,1389.9
99,苗栗縣,二期,餘糧收購,32.4
99,臺中縣,一期,計畫收購,13738.0
99,臺中縣,一期,輔導收購,644.6
99,臺中縣,二期,計畫收購,8608.0
99,臺中縣,二期,輔導收購,2304.0
99,臺中縣,二期,餘糧收購,0.0
99,彰化縣,一期,計畫收購,13028.8
99,彰化縣,一期,輔導收購,72.8
99,彰化縣,一期,餘糧收購,0.3
99,彰化縣,二期,計畫收購,8932.9
99,彰化縣,二期,輔導收購,358.0
99,彰化縣,二期,餘糧收購,2.2
99,南投縣,一期,計畫收購,1467.3
99,南投縣,一期,輔導收購,93.4
99,南投縣,一期,餘糧收購,5.0
99,南投縣,二期,計畫收購,1209.4
99,南投縣,二期,輔導收購,196.7
99,南投縣,二期,餘糧收購,83.2
99,雲林縣,一期,計畫收購,34458.5
99,雲林縣,一期,輔導收購,1288.3
99,雲林縣,一期,餘糧收購,6.4
99,雲林縣,二期,計畫收購,10747.8
99,雲林縣,二期,輔導收購,1409.0
99,雲林縣,二期,餘糧收購,173.5
99,嘉義縣,一期,計畫收購,10138.2
99,嘉義縣,一期,輔導收購,72.2
99,嘉義縣,二期,計畫收購,10016.6
99,嘉義縣,二期,輔導收購,1146.1
99,嘉義縣,二期,餘糧收購,71.5
99,臺南縣,一期,計畫收購,1059.7
99,臺南縣,一期,輔導收購,103.3
99,臺南縣,二期,計畫收購,3738.0
99,臺南縣,二期,輔導收購,272.7
99,臺南縣,二期,餘糧收購,0.2
