民國年,期作,稉稻(蓬萊)(公噸),軟秈稻(公噸),硬秈稻(在來)(公噸),秈糯(公噸),稉糯(公噸),稉稻(蓬萊)占比%,軟秈稻占比%,硬秈稻(在來)占比%,秈糯占比%,稉糯占比%,期作合計(公噸)
99,1,119811.9,3039.9,82.3,0.0,0.0,97.460,2.473,0.067,0.000,0.000,122934.1
99,2,65952.9,607.2,252.1,0.0,0.0,98.714,0.909,0.377,0.000,0.000,66812.2
100,1,234457.3,6908.6,2828.0,0.0,0.0,96.013,2.829,1.158,0.000,0.000,244193.9
100,2,99696.8,715.8,793.4,0.0,0.0,98.509,0.707,0.784,0.000,0.000,101206.0
101,1,255399.5,2535.5,2958.2,1590.5,62.9,97.278,0.966,1.127,0.606,0.024,262546.4
101,2,112068.5,202.2,595.8,24.8,0.0,99.271,0.179,0.528,0.022,0.000,112891.2
102,1,291485.4,1637.0,2059.1,1055.8,0.0,98.396,0.553,0.695,0.356,0.000,296237.3
102,2,108976.1,81.4,614.9,1.2,1.7,99.363,0.074,0.561,0.001,0.002,109675.2
103,1,279943.3,2423.5,2491.9,866.1,0.0,97.977,0.848,0.872,0.303,0.000,285724.7
103,2,78351.7,102.0,442.3,3.8,0.0,99.305,0.129,0.561,0.005,0.000,78899.9
104,1,226507.6,3188.4,1117.2,25.6,0.0,98.124,1.381,0.484,0.011,0.000,230838.8
104,2,63542.8,4.4,337.9,0.0,0.0,99.464,0.007,0.529,0.000,0.000,63885.1
105,2,33343.6,1.5,161.0,0.0,0.0,99.515,0.005,0.480,0.000,0.000,33506.2
106,1,254788.7,1219.4,1101.7,285.7,0.0,98.987,0.474,0.428,0.111,0.000,257395.4
106,2,70423.8,0.0,220.5,0.0,0.0,99.688,0.000,0.312,0.000,0.000,70644.4
107,2,68513.7,0.5,151.7,0.0,0.0,99.778,0.001,0.221,0.000,0.000,68666.0
108,1,249390.8,5599.9,1123.1,87.1,3.7,97.340,2.186,0.438,0.034,0.001,256204.6
108,2,48486.8,13.0,89.1,0.0,0.0,99.790,0.027,0.183,0.000,0.000,48588.9
112,2,23177.6,0.0,17.6,0.0,0.0,99.924,0.000,0.076,0.000,0.000,23195.2
113,1,219393.1,1396.6,1329.6,0.0,0.0,98.773,0.629,0.599,0.000,0.000,222119.2
合計,,2903711.8,29676.7,18767.3,3940.5,68.2,98.226,1.004,0.635,0.133,0.002,2956164.6
