民國年,西元年,市場稻穀價(元/公斤),計畫價(元/公斤),輔導價(元/公斤),餘糧價(元/公斤),烘乾補助(元/公斤),輔導實質價(元/公斤),輔導價差(元/公斤),稻作總產量(公噸),公糧收購量(公噸),收購占比%
99,2010,20.763,23.0,20.0,18.6,2.0,22.0,1.24,1451011,191048,13.17
100,2011,21.603,26.0,23.0,21.6,2.0,25.0,3.4,1666274,385751,23.15
101,2012,23.098,26.0,23.0,21.6,2.0,25.0,1.9,1700229,442031,26.0
102,2013,22.174,26.0,23.0,21.6,2.0,25.0,2.83,1589564,486776,30.62
103,2014,24.025,26.0,23.0,21.6,2.0,25.0,0.98,1732210,425218,24.55
104,2015,23.079,26.0,23.0,21.6,2.0,25.0,1.92,1581732,362984,22.95
105,2016,23.905,26.0,23.0,21.6,2.0,25.0,1.09,1587776,397839,25.06
106,2017,23.637,26.0,23.0,21.6,2.0,25.0,1.36,1754049,467084,26.63
107,2018,21.978,26.0,23.0,21.6,2.0,25.0,3.02,1949796,536686,27.53
108,2019,21.664,26.0,23.0,21.6,2.0,25.0,3.34,1791211,573914,32.04
109,2020,21.454,26.0,23.0,21.6,2.0,25.0,3.55,1750729,558342,31.89
110,2021,22.411,26.0,23.0,21.6,2.0,25.0,2.59,1560870,358116,22.94
111,2022,22.772,26.0,23.0,21.6,2.0,25.0,2.23,1575777,365608,23.2
112,2023,23.933,26.0,23.0,21.6,2.0,25.0,1.07,1460374,287356,19.68
113,2024,25.037,26.0,23.0,21.6,2.0,25.0,-0.04,1542942,312080,20.23
114,2025,25.812,26.0,24.5,21.6,2.0,26.5,0.69,,,
115,2026,26.14,26.0,24.5,21.6,2.0,26.5,0.36,,,
