民國年,西元年,月份,白米零售_稉種(蓬萊)(元/公斤),白米零售_硬秈(在來)(元/公斤),白米零售_軟秈(元/公斤),白米零售_圓糯(元/公斤),白米零售_長糯(元/公斤),白米躉售_稉種(蓬萊)(元/公斤),白米躉售_硬秈(在來)(元/公斤),白米躉售_軟秈(元/公斤),白米躉售_圓糯(元/公斤),白米躉售_長糯(元/公斤),稻穀_稉種(蓬萊)(元/公斤),稻穀_硬秈(在來)(元/公斤),稻穀_軟秈(元/公斤),稻穀_圓糯(元/公斤),稻穀_長糯(元/公斤)
99,2010,1,38.1,41.69,39.66,46.88,43.79,32.53,35.52,34.35,42.12,38.69,21.83,21.43,21.72,27.09,25.21
99,2010,2,38.72,41.9,39.92,47.65,44.81,33.3,35.83,34.77,42.68,39.53,22.27,21.72,21.98,27.23,25.42
99,2010,3,38.61,41.86,39.87,47.53,44.77,32.75,35.88,34.62,42.2,39.42,21.73,21.28,21.56,26.56,25.1
99,2010,4,38.18,41.72,39.73,47.33,44.8,32.09,35.79,34.27,41.46,39.17,21.36,20.97,21.06,26.12,24.75
99,2010,5,38.0,41.71,39.68,47.33,45.28,31.89,35.74,34.07,41.44,40.14,21.2,21.12,20.77,26.29,25.63
99,2010,6,37.79,41.69,39.52,47.16,45.67,31.59,35.68,33.66,40.84,40.17,20.78,20.95,20.32,25.79,25.41
99,2010,7,37.26,41.52,39.04,46.89,46.13,30.6,35.46,32.81,40.59,41.13,20.28,21.05,19.49,25.47,27.31
99,2010,8,37.17,41.6,38.79,47.13,47.53,30.42,35.42,32.52,40.83,42.71,20.31,21.17,19.38,25.57,28.15
99,2010,9,37.07,41.61,38.6,47.15,48.0,30.4,35.38,32.23,40.74,43.3,20.42,21.32,19.47,25.56,28.29
99,2010,10,36.77,41.53,38.39,46.93,48.03,30.01,35.29,31.85,40.1,43.23,19.94,21.13,19.11,25.1,28.04
99,2010,11,36.34,41.38,37.88,46.28,48.35,29.39,34.76,30.86,38.84,43.44,19.29,20.27,18.31,24.78,27.93
99,2010,12,36.67,41.39,37.92,47.5,51.52,30.13,34.68,31.02,40.42,46.75,19.75,20.71,18.71,24.84,30.38
100,2011,1,36.87,41.28,37.84,47.48,51.92,30.16,34.49,31.08,39.95,46.93,19.72,20.75,18.55,24.2,29.44
100,2011,2,36.8,41.15,37.47,47.37,52.19,30.12,34.35,30.92,39.91,47.16,19.71,20.72,18.39,24.29,29.85
