民國年,稻作種植面積(公頃),稻作總產量(公噸．稻穀量),公糧收購量(公噸．不含災害穀),收購占比%,資料來源
99,243881,1451011,191048,13.17,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
100,254292,1666274,385751,23.15,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
101,260788,1700229,442031,26.0,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
102,270264,1589564,486776,30.62,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
103,271077,1732210,425218,24.55,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
104,251887,1581732,362984,22.95,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
105,273866,1587776,397839,25.06,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
106,274705,1754049,467084,26.63,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
107,271506,1949796,536686,27.53,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
108,270068,1791211,573914,32.04,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
109,263035,1750729,558342,31.89,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
110,224024,1560870,358116,22.94,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
111,238702,1575777,365608,23.2,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
112,222416,1460374,287356,19.68,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
113,240357,1542942,312080,20.23,立法院報告表3-2（資料來源欄：農業部提供）https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=56072&pid=253072
