民國年,計畫全年(公噸),輔導全年(公噸),餘糧全年(公噸),年合計(公噸),一期計畫,一期輔導,一期餘糧,一期合計,二期計畫,二期輔導,二期餘糧,二期合計,資料來源
99,172882.9,17570.6,596.2,191049.6,115718.3,7860.4,74.1,123652.8,57164.6,9710.2,522.1,67396.9,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
100,244869.0,100530.8,38756.4,384156.2,169444.2,74749.6,28096.9,272290.7,75424.8,25781.2,10659.5,111865.5,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
101,263504.8,111932.8,66593.1,442030.8,178426.3,84120.1,54811.3,317357.7,85078.5,27812.7,11781.8,124673.0,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
102,283223.4,122999.0,80553.0,486775.4,197976.7,98260.6,69694.6,365931.9,85246.6,24738.5,10858.4,120843.5,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
103,258362.6,108761.5,58092.9,425217.1,192816.4,95407.9,54782.2,343006.5,65546.2,13353.6,3310.7,82210.5,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
104,208521.6,86164.4,68298.2,362984.2,153107.4,77693.6,66751.2,297552.2,55414.3,8470.8,1547.0,65432.1,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
105,214137.6,97894.9,85806.9,397839.4,182650.6,95875.8,85452.0,363978.4,31487.0,2019.1,354.9,33861.0,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
106,216698.7,112995.0,137390.8,467084.5,168095.6,90953.7,110806.8,369856.1,48603.1,22041.2,26584.0,97228.3,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
107,195152.9,111272.5,230260.4,536685.9,149929.4,87830.1,175760.7,413520.2,45223.6,23442.4,54499.8,123165.8,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
108,194353.4,110440.1,269120.6,573914.2,161454.5,94750.1,245741.7,501946.3,32898.9,15690.0,23379.0,71967.9,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
109,196825.4,112927.7,248588.4,558341.5,151559.2,89175.7,185818.7,426553.6,45266.2,23751.9,62769.7,131787.8,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
110,134486.7,75319.9,148309.7,358116.3,98510.2,57152.1,110901.9,266564.2,35976.5,18167.8,37407.8,91552.1,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
111,184925.2,92017.7,88665.5,365608.4,156024.7,87803.3,88015.6,331843.6,28900.5,4214.4,649.8,33764.7,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
112,145162.8,70489.8,71703.2,287355.7,124080.4,68376.9,70969.6,263426.9,21082.3,2112.9,733.6,23928.8,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
113,158166.6,78047.8,75865.9,312080.3,144825.3,77284.0,75782.5,297891.8,13341.3,763.8,83.5,14188.6,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
114,224539.8,79209.9,305.5,304055.1,202040.9,75596.4,299.8,277937.1,22498.9,3613.5,5.6,26118.0,農業統計資料查詢（agrstat）CI03「農業部計畫、輔導及餘糧收購稻穀情形」；99–113 年與立法院表 3-3 逐筆驗證相符（100 年差 0.6%）
