民國年,期作,收穫期,市場稻穀價_稉種(元/公斤),輔導含補助名目價(元/公斤),輔導價差(元/公斤),餘糧含補助名目價(元/公斤),餘糧價差(元/公斤),計畫+輔導收購量(公噸),餘糧收購量(公噸),期作收購總量(公噸)
99,1,6-8月,20.457,22.00,1.543,20.60,0.143,123578.7,74.1,123652.8
99,2,11-12月,19.520,22.00,2.480,20.60,1.080,66874.7,522.1,67396.8
100,1,6-8月,21.663,25.00,3.337,23.60,1.937,244193.9,28096.9,272290.8
100,2,11-12月,22.700,25.00,2.300,23.60,0.900,101206.0,10659.5,111865.5
101,1,6-8月,22.693,25.00,2.307,23.60,0.907,262546.4,54811.3,317357.7
101,2,11-12月,22.905,25.00,2.095,23.60,0.695,112891.2,11781.8,124673.0
102,1,6-8月,21.890,25.00,3.110,23.60,1.710,296237.3,69694.6,365931.9
102,2,11-12月,22.865,25.00,2.135,23.60,0.735,109985.1,10858.4,120843.5
103,1,6-8月,23.427,25.00,1.573,23.60,0.173,288224.3,54782.2,343006.5
103,2,11-12月,23.440,25.00,1.560,23.60,0.160,78899.9,3310.7,82210.6
104,1,6-8月,22.447,25.00,2.553,23.60,1.153,230800.9,66751.2,297552.1
104,2,11-12月,23.530,25.00,1.470,23.60,0.070,63885.1,1547.0,65432.1
105,1,6-8月,23.167,25.00,1.833,23.60,0.433,278526.3,85452.0,363978.3
105,2,11-12月,24.725,25.00,0.275,23.60,-1.125,33506.2,354.9,33861.1
106,1,6-8月,22.930,25.00,2.070,23.60,0.670,259049.3,110806.8,369856.1
106,2,11-12月,22.355,25.00,2.645,23.60,1.245,70644.4,26584.0,97228.4
107,1,6-8月,21.657,25.00,3.343,23.60,1.943,237759.4,175760.7,413520.1
107,2,11-12月,21.350,25.00,3.650,23.60,2.250,68666.0,54499.8,123165.8
108,1,6-8月,21.633,25.00,3.367,23.60,1.967,256204.6,245741.7,501946.3
108,2,11-12月,22.160,25.00,2.840,23.60,1.440,48588.9,23379.0,71967.9
109,1,6-8月,21.023,25.00,3.977,23.60,2.577,240734.9,185818.7,426553.6
109,2,11-12月,21.050,25.00,3.950,23.60,2.550,69018.1,62769.7,131787.8
110,1,6-8月,22.020,25.00,2.980,23.60,1.580,155662.3,110901.9,266564.2
110,2,11-12月,22.065,25.00,2.935,23.60,1.535,54144.3,37407.8,91552.1
111,1,6-8月,22.473,25.00,2.527,23.60,1.127,243828.0,88015.6,331843.6
111,2,11-12月,23.615,25.00,1.385,23.60,-0.015,33115.0,649.8,33764.8
112,1,6-8月,23.223,25.00,1.777,23.60,0.377,192457.3,70969.6,263426.9
112,2,11-12月,24.890,25.00,0.110,23.60,-1.290,23195.2,733.6,23928.8
113,1,6-8月,24.010,25.00,0.990,23.60,-0.410,222109.2,75782.5,297891.7
113,2,11-12月,25.585,25.00,-0.585,23.60,-1.985,14105.1,83.5,14188.6
114,1,6-8月,25.643,26.50,0.857,23.60,-2.043,277637.3,299.8,277937.1
114,2,11-12月,26.075,26.50,0.425,23.60,-2.475,26112.4,5.6,26118.0
