民國年,計畫收購(公噸),輔導收購(公噸),餘糧收購(公噸),災害穀(公噸),小計(公噸),計畫+輔導(公噸),收購支出(億元)
99,172883,17571,594,706,191754,190454,434.79
100,246244,100739,38768,4139,389890,346983,986.42
101,263505,111933,66593,14216,456247,375438,1206.8
102,283224,122999,80553,2386,489162,406223,1295.55
103,258363,108762,58093,0,425218,367125,1131.44
104,208521,86165,68298,2525,365509,294686,965.84
105,214138,97895,85807,544,398383,312033,1047.53
106,216699,112995,137391,645,467730,329694,1214.66
107,195153,111272,230260,340,537026,306425,1368.18
108,194353,110440,269121,674,574588,304793,1455.52
109,196825,112928,248589,394,558736,309753,1420.65
110,134487,75320,148310,365,358481,209807,915.28
111,184925,92018,88665,0,365608,276943,956.3
112,145163,70490,71703,3525,290881,215653,759.99
113,158167,78048,75866,456,312536,236215,817.77
